NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Icaal George,D,Jun-21,4,27/04/2025,Yrmth,462m,[5],5.62,6666,4th,4½,Tableseventyone,"Mid,Crd1",28.58,10,32.5,12-Jan,A6,29.04
Icaal George,D,Jun-21,4,20/04/2025,Yrmth,462m,[5],5.65,4666,6th,8½,Murlens Brae,"Mid-W,CrdRnUp,W2",28.93,-10,32.3,07-Feb,A6,29.51
Icaal George,D,Jun-21,4,13/04/2025,Yrmth,462m,[5],5.48,6533,3rd,5½,Solo,Mid-W,28.31,10,32.5,09-Jan,A6,28.84
Icaal George,D,Jun-21,4,06/04/2025,Yrmth,462m,[5],5.36,2222,1st,2,Mortimer Girls,"Mid-W,LdRnIn",28.59,N,32,5/4F,A7,28.59
Icaal George,D,Jun-21,4,30/03/2025,Yrmth,462m,[5],5.63,5443,1st,1¼,Jinksy Lass,"SAw,Mid,Crd1,W2,LdRnIn",29.27,N,32.1,5/6F,A8,29.27
Icaal George,D,Jun-21,4,24/03/2025,Yrmth,462m,[5],5.55,6555,3rd,3¾,Drive On Belle,"SwrvdStt,Mid,Crd1&1/4,RnOn",28.94,N,31.9,09-Feb,A7,29.24
Icaal George,D,Jun-21,4,17/03/2025,Yrmth,462m,[5],5.61,6666,5th,1¼,Gone To Rome,"Mid,RnOn",29,-20,32,04-Jan,A7,28.91
Icaal George,D,Jun-21,4,10/03/2025,Yrmth,462m,[5],5.68,6553,3rd,2,Roseville Rose,"SAw,Mid,RnOn",28.86,N,32,05-Jan,A7,29.03
Icaal George,D,Jun-21,4,03/03/2025,Yrmth,462m,[5],5.53,4565,6th,8½,Fight To Win,"Mid,Crd1",28.84,-20,32.4,20-Jan,A6,29.33
Kazmar Rockstar,D,01/10/2021,3,14/06/2025,Yrmth,462m,[2],5.49,5333,4th,4¾,Nova Boots,"Mid-Rls,Crd1",28.61,N,31.4,05-Jan,A6,29
Kazmar Rockstar,D,01/10/2021,3,31/05/2025,Yrmth,462m,[2],5.45,2112,4th,5,Headford Rose,"Rls-Mid,LdBmp1/4-3",28.38,20,31.6,12-Jan,A6,28.99
Kazmar Rockstar,D,01/10/2021,3,24/05/2025,Yrmth,462m,[2],5.39,2223,5th,7½,Heflewanocean,"Rls-Mid,Crd4&RnIn",28.19,20,31.5,12-Jan,A5,29
Kazmar Rockstar,D,01/10/2021,3,17/05/2025,Yrmth,462m,[2],5.59,,,,Solo,Mid-Rls,28.75,N,31.2,,T1,28.75
Kazmar Rockstar,D,01/10/2021,3,28/04/2025,Yrmth,462m,[2],5.43,1111,1st,nk,Mcsquizzy,"Rls-Mid,ALd",28.8,N,31.4,07-Jan,A6,28.8
Kazmar Rockstar,D,01/10/2021,3,19/04/2025,Yrmth,462m,[3],5.53,4343,5th,9¼,Alfies Lad,"Mid-Rls,Crd1",28.47,N,31.4,05-Jan,A6,29.21
Kazmar Rockstar,D,01/10/2021,3,13/04/2025,Yrmth,462m,[2],5.4,1111,1st,2,Perpendicular,"QAw,Rls-Mid,Ld1",28.6,10,31.4,04-Jan,A7,28.7
Kazmar Rockstar,D,01/10/2021,3,06/04/2025,Yrmth,462m,[2],5.46,4444,5th,9¾,Solo,"Rls-Mid,Crd-1&1",28.56,N,31,06-Jan,A7,29.34
Kazmar Rockstar,D,01/10/2021,3,30/03/2025,Yrmth,462m,[3],5.47,1354,6th,6¾,Good Rex,"QAw,Mid,ToRls,Crd1",28.81,-10,31.2,07-Feb,A6,29.26
Kazmar Rockstar,D,01/10/2021,3,23/03/2025,Yrmth,462m,[2],5.52,1222,3rd,8,Swift Illinois,"QAw,Rls-Mid",28.34,10,31.6,06-Jan,A6,29.08
Kazmar Rockstar,D,01/10/2021,3,17/03/2025,Yrmth,277m,[2],,1-1-,1st,shd,Drumbane Blue,"QAw,Mid,ToRls,Ld1/2",17.01,-10,31.2,09-Feb,D3,16.91
Kazmar Rockstar,D,01/10/2021,3,10/03/2025,Yrmth,462m,[3],5.49,3444,6th,8¼,Raparee Sapphire,"Mid-Rls,Crd1&2",28.72,N,31.1,06-Jan,A6,29.38
Kazmar Rockstar,D,01/10/2021,3,02/03/2025,Yrmth,462m,[3],5.36,1111,1st,1,Drive On Belle,"Mid-Rls,ALd",28.78,N,31.4,13/8F,A7,28.78
Pyrus,D,01/05/2023,2,16/06/2025,Yrmth,462m,[3],5.54,4445,5th,16,Rosshill Annie,"Mid,Crd1",28.49,10,31.6,07-Jan,A6,29.87
Pyrus,D,01/05/2023,2,08/06/2025,Yrmth,462m,[2],5.61,6445,6th,14¾,Moanteen Pudding,"Mid-Rls,Crd3,Blk3/4",28.59,N,31.8,14-Jan,A5,29.78
Pyrus,D,01/05/2023,2,02/06/2025,Yrmth,462m,[3],5.36,1112,3rd,6½,Sleek Bono,"Mid,CrdRnUp,Ld-3",28.3,10,31.8,07-Jan,A5,28.92
Pyrus,D,01/05/2023,2,28/05/2025,Yrmth,462m,[2],5.4,3333,5th,13,Kranky Sako,"Mid-Rls,BdCrd1",28.17,N,32,06-Jan,A5,29.21
Pyrus,D,01/05/2023,2,24/05/2025,Yrmth,462m,[3],5.32,3111,3rd,4½,Heflewanocean,"Mid,LdRnUp-4",28.19,20,32.1,07-Jan,A5,28.76
Pyrus,D,01/05/2023,2,18/05/2025,Yrmth,462m,[3],5.49,5334,5th,9¼,Perpendicular,Mid,28.27,10,32.3,07-Feb,A5,29.12
Pyrus,D,01/05/2023,2,12/05/2025,Yrmth,462m,[3],5.44,1111,1st,shd,Foxy Biscuit,"Mid,ALd",28.46,10,32.5,09-Feb,A6,28.56
Pyrus,D,01/05/2023,2,07/05/2025,Yrmth,462m,[4],5.56,5555,6th,8¼,Tetra Kenny,"Mid,BdCrd1,Crd1/4",28.7,10,31.9,16-Jan,A6,29.46
Pyrus,D,01/05/2023,2,30/04/2025,Yrmth,462m,[3],5.42,4111,1st,3,Our Moll,"Mid,Ld1,DrewClr",28.42,30,32,06-Jan,A8,28.72
Pyrus,D,01/05/2023,2,26/04/2025,Yrmth,462m,[1],5.65,4434,5th,9¼,Barnora Horse,"BmpStt,Mid-Rls",28.45,20,32.6,05-Jan,A8,29.4
